,Station ID,XCNAQ1264,CN_1417A,CN_1419A,CN_1430A,CN_1420A,CN_1416A,CN_1426A,CN_1424A,XCNAQ1236,CN_1422A,CN_1427A,CN_1425A,CN_1414A,CN_1421A,CN_1428A,CN_1418A,CN_1423A,CN_1415A,CN_1429A,XCNAQ1237,XCNAQ1238
17,2013/01/15 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
18,2013/01/16 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
19,2013/01/17 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
20,2013/01/18 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
21,2013/01/19 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
22,2013/01/20 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
23,2013/01/21 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
24,2013/01/22 00:00:00,-99999.0000,9.5026,-99999.0000,-99999.0000,11.3521,13.7755,4.4324,13.5204,-99999.0000,8.8329,6.0268,17.4745,32.8444,-99999.0000,-99999.0000,14.1901,5.6441,-99999.0000,-99999.0000,-99999.0000,-99999.0000
25,2013/01/23 00:00:00,-99999.0000,7.6105,6.6114,-99999.0000,11.7772,13.2440,3.4014,8.2695,-99999.0000,4.8470,12.1599,18.4479,38.8180,-99999.0000,4.8788,11.1395,4.7619,-99999.0000,-99999.0000,-99999.0000,-99999.0000
26,2013/01/24 00:00:00,-99999.0000,13.1165,16.7305,-99999.0000,16.2628,9.2946,3.8154,16.4328,-99999.0000,11.0757,9.8427,-99999.0000,43.9837,-99999.0000,15.6463,20.0255,3.5077,-99999.0000,-99999.0000,-99999.0000,-99999.0000
27,2013/01/25 00:00:00,-99999.0000,15.5612,19.1326,-99999.0000,17.3682,9.1199,5.1020,9.4388,-99999.0000,8.7585,15.2211,11.1905,59.9062,-99999.0000,13.2866,16.6242,11.3733,-99999.0000,-99999.0000,-99999.0000,-99999.0000
28,2013/01/26 00:00:00,-99999.0000,16.0714,20.2381,-99999.0000,13.3929,10.1190,4.6344,8.6310,-99999.0000,14.5196,9.9915,8.8860,70.2592,-99999.0000,28.0187,16.2415,8.4396,-99999.0000,-99999.0000,-99999.0000,-99999.0000
29,2013/01/27 00:00:00,-99999.0000,30.3784,14.1369,-99999.0000,18.5587,6.7390,4.0604,8.0357,-99999.0000,6.3563,11.2882,20.7695,51.4454,-99999.0000,11.4371,9.2437,12.6063,-99999.0000,-99999.0000,-99999.0000,-99999.0000
30,2013/01/28 00:00:00,-99999.0000,20.6633,19.4515,-99999.0000,21.7900,9.1199,3.8053,8.6097,-99999.0000,7.3342,20.3869,18.4736,44.8129,-99999.0000,2.8486,13.5842,3.3801,-99999.0000,-99999.0000,-99999.0000,-99999.0000
31,2013/01/29 00:00:00,-99999.0000,15.5612,15.4404,-99999.0000,17.2194,9.9915,4.9532,8.9286,-99999.0000,7.8869,8.2908,14.6046,46.9812,-99999.0000,20.3019,10.3316,9.6513,13.4184,-99999.0000,-99999.0000,-99999.0000
32,2013/01/30 00:00:00,-99999.0000,4.2591,-99999.0000,-99999.0000,13.3540,7.0098,3.7489,9.0062,-99999.0000,11.6460,5.5522,6.1990,34.6495,-99999.0000,2.7728,19.3212,3.3940,8.9618,-99999.0000,-99999.0000,-99999.0000
