,Station ID,XCNAQ1795,CN_1142A,XCNAQ1283,XCNAQ1826,XCNAQ1813,XCNAQ1802,XCNAQ1825,XCNAQ1820,XCNAQ1815,XCNAQ1821,XCNAQ1792,XCNAQ1822,XCNAQ1812,XCNAQ1786,XCNAQ1810,XCNAQ1811,XCNAQ1794,CN_1144A,XCNAQ1284,CN_1141A,XCNAQ1816,CN_1145A,XCNAQ1798,XCNAQ1797,XCNAQ1791,XCNAQ1808,XCNAQ1807,XCNAQ1801,CN_1148A,CN_1150A,XCNAQ1787,CN_1149A,CN_1143A,XCNAQ1809,XCNAQ1823,XCNAQ1814,XCNAQ1804,XCNAQ1824,XCNAQ1800,XCNAQ1803,XCNAQ1819,XCNAQ1789,XCNAQ1790,XCNAQ1788,XCNAQ1805,XCNAQ1806,CN_1146A,XCNAQ1817,XCNAQ1793,XCNAQ1796,XCNAQ1818,CN_1147A,XCNAQ1799
0,Latitude,31.2342,31.2036,31.2022,31.4116,31.3122,31.3738,30.9249,30.9338,30.8580,31.3225,31.3932,31.4115,31.6217,31.6894,31.5944,31.7688,31.1990,31.1654,31.1767,31.2380,31.2852,31.2659,31.3214,31.2838,31.0516,31.0377,31.0113,31.1143,31.1907,31.2071,31.0507,31.2284,31.3008,31.2666,30.7911,30.7430,30.8911,30.9236,31.2059,31.1939,31.2232,31.0065,31.0739,31.1158,31.1561,31.1152,31.0935,31.1456,31.2325,31.2768,31.2973,31.2261,31.2187
1,Longitude,121.4688,121.4780,121.4823,121.1980,121.2551,121.2500,121.4890,121.4532,121.6762,121.4261,121.4456,121.3408,121.3969,121.4790,121.8025,121.1955,121.4373,121.4120,121.4384,121.4000,121.3424,121.5360,121.5034,121.5376,121.2664,121.2186,121.2322,121.5846,121.7030,121.5770,121.7965,121.5330,121.4670,121.5015,121.1379,121.3389,121.1603,121.0125,121.3902,121.3622,121.4246,121.4115,121.4996,121.3663,121.1255,121.0056,120.9780,121.1037,121.4476,121.4510,121.4303,121.4250,121.4607
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
10,2013/01/08 00:00:00,-99999.0000,-99999.0000,22.8742,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.6225,-99999.0000,21.4923,-99999.0000,31.6559,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,22.6190,20.2593,-99999.0000,24.6811,23.7032,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,21.4951,-99999.0000,-99999.0000,-99999.0000,-99999.0000,20.0680,-99999.0000
11,2013/01/09 00:00:00,-99999.0000,-99999.0000,22.5155,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,20.3657,-99999.0000,21.0034,-99999.0000,28.2313,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,20.5570,21.5774,-99999.0000,20.5241,19.3665,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,24.7662,-99999.0000,-99999.0000,-99999.0000,-99999.0000,22.5377,-99999.0000
12,2013/01/10 00:00:00,-99999.0000,-99999.0000,12.0536,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,14.3920,-99999.0000,14.0944,-99999.0000,15.6167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,14.9022,14.1794,-99999.0000,11.2032,12.0323,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,13.6905,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.3248,-99999.0000
13,2013/01/11 00:00:00,-99999.0000,-99999.0000,12.7551,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,13.5842,-99999.0000,11.7104,-99999.0000,16.0289,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.5425,15.9651,-99999.0000,16.9005,11.4158,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,15.8607,-99999.0000
14,2013/01/12 00:00:00,-99999.0000,-99999.0000,13.2015,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.0110,-99999.0000,8.9923,-99999.0000,15.5187,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,17.9847,22.1088,-99999.0000,17.3682,7.2704,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.6760,-99999.0000,-99999.0000,-99999.0000,-99999.0000,14.1794,-99999.0000
15,2013/01/13 00:00:00,-99999.0000,-99999.0000,16.2156,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,16.3903,-99999.0000,13.8818,-99999.0000,20.2529,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,20.7483,20.6420,-99999.0000,13.6905,13.4992,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,14.2857,-99999.0000,-99999.0000,-99999.0000,-99999.0000,19.0994,-99999.0000
16,2013/01/14 00:00:00,-99999.0000,-99999.0000,26.0204,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,24.6811,-99999.0000,34.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.7007,29.9958,-99999.0000,26.5731,20.2381,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,16.5179,-99999.0000,-99999.0000,-99999.0000,-99999.0000,27.5510,-99999.0000
17,2013/01/15 00:00:00,-99999.0000,-99999.0000,13.8864,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,19.3392,-99999.0000,17.5595,-99999.0000,19.6216,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,16.2628,20.0042,-99999.0000,18.0515,12.3937,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,16.8792,-99999.0000,-99999.0000,-99999.0000,-99999.0000,17.8793,-99999.0000
18,2013/01/16 00:00:00,-99999.0000,-99999.0000,24.0859,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,22.1817,-99999.0000,25.5952,-99999.0000,28.4013,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,25.5831,26.3393,-99999.0000,26.0629,22.1088,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.7081,-99999.0000,-99999.0000,-99999.0000,-99999.0000,23.5544,-99999.0000
19,2013/01/17 00:00:00,-99999.0000,-99999.0000,27.8525,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,25.5315,-99999.0000,25.7865,-99999.0000,32.8019,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,30.4209,33.6735,-99999.0000,29.4217,24.2347,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,30.6335,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.6698,-99999.0000
