O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,29.128658986174397,41.90899420121509,33.82764501406897
Feb,27.425017675544094,41.04676061932174,30.02110881128881
Mar,30.415842580644988,41.44526729995287,28.21862982954733
Apr,33.4943297431772,33.88872572276658,25.540607059156397
May,29.940202271739484,27.47122781418866,23.179925926557296
Jun,22.181405111111115,20.737859665941045,19.78717943508095
Jul,22.653061505376343,19.285385456243397,19.97441229222053
Aug,29.934171612903224,22.98721838713071,31.283802056121885
Sep,40.004537666666664,38.579306614277414,47.987353881568296
Oct,49.43274000000001,49.411003391925284,42.0351889829602
Nov,36.269861798832565,42.71177544828207,32.64724129631382
Dec,32.211631797234375,42.14997650541675,34.2409344269644
