O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.47128238227247,89.53070825332253,93.76660535098756
Feb,33.45434473377581,74.21487555947724,70.12635459147171
Mar,37.11707247311826,45.10565327188099,53.46785987943879
Apr,37.20634804775658,31.340620812410524,38.44921331081169
May,32.216372688172044,23.815381059596948,24.558631689478357
Jun,20.558955362603076,16.45354206227881,17.771204892771127
Jul,19.57154365591398,15.49684289890886,18.922695761732264
Aug,26.060457526881716,22.542182240440887,37.3745353537018
Sep,37.59240088888889,49.598838409468236,79.05712236497172
Oct,49.65377802584432,80.1444225402417,91.81324994192757
Nov,40.853515717527955,85.93726259276757,98.86094687651058
Dec,37.94907511520737,83.5090248964846,105.56571537041594
