O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.5425,198.16184488574024,124.513659913238
Feb,34.755901663451716,165.89637054527438,81.486421440858
Mar,36.86060794002956,147.09549904489836,71.64395875459601
Apr,39.8706527819511,101.50952835901363,61.98161538063135
May,37.6958104750649,73.84270730288209,56.40620987131271
Jun,29.195356541716748,55.119210562142364,50.88837026834397
Jul,24.777642679892505,50.602012056933454,53.68143652398745
Aug,35.71121224241035,64.3697711894372,97.44180381398499
Sep,54.022466666666666,126.82726379011574,165.87721290858948
Oct,74.54181141439206,170.91353913355087,139.1094618383452
Nov,56.74627968337731,162.52051896431396,124.66146772453256
Dec,46.48227688172043,202.46183010688486,153.40865749235027
