O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.940585215053765,45.896729856139565,59.30728324576724
Feb,33.56463872893258,46.525109657741616,54.871818685526314
Mar,36.02572729528536,37.02207028792155,53.55121435759692
Apr,40.43171076923077,31.337097838039845,47.40979415748483
May,39.227471169354814,28.065095493379353,35.41253190329028
Jun,28.37502700420672,21.77041547430995,27.425351075331182
Jul,32.94050870069523,22.471532565867577,29.72311368139599
Aug,44.47131757424781,30.944797893563596,50.63502531928965
Sep,55.42779128205128,49.96797057625957,74.53433365557389
Oct,66.24298046736749,58.594914176030436,59.54869839983996
Nov,50.31769496380646,48.8127195644555,48.66108348919802
Dec,42.27148473392605,41.38291274795858,54.63156600434927
