O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.47128238227247,78.63230438562472,121.71054016753396
Feb,33.45434473377581,70.53160457428157,92.23704243298279
Mar,37.11707247311826,53.02191377452138,66.982871266789
Apr,37.20634804775658,39.715234116113585,47.98903374706174
May,32.216372688172044,30.08046389534446,35.91663343251169
Jun,20.558955362603076,20.89735721522281,26.16659887924191
Jul,19.57154365591398,18.458311744878056,28.369659982377797
Aug,26.060457526881716,29.858609207583182,52.74087377251528
Sep,37.59240088888889,70.14859174884538,88.83385619012535
Oct,49.65377802584432,81.35003890971201,118.84255814986328
Nov,40.853515717527955,80.80379530050921,135.39056876378206
Dec,37.94907511520737,84.51526293489835,146.956676259519
