O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,31.223944279365103,48.236869385873305,67.13693669287518
Feb,28.06122556085809,44.635789488397194,57.23483156885224
Mar,32.93759888337466,44.49995887248112,43.93237909881711
Apr,34.53035498087565,29.076746697427897,29.356270610284948
May,30.942675434243174,25.656141041715156,27.038125126158715
Jun,20.17792,20.22881295697765,21.301489654572652
Jul,22.79840322580645,16.836880939818656,21.499869808050068
Aug,30.499567990074443,23.362164166283215,44.2246129945977
Sep,41.640155332532046,39.498070114346326,73.98673259288468
Oct,51.86106680172147,50.57798180119608,72.89912597761725
Nov,40.014014227022535,56.52506977474338,85.33296620125665
Dec,34.98189516129032,68.67531316243159,84.5355693413188
