O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,44.169094110023025,90.7665309017132,105.08826305413037
Feb,42.645895641646455,87.91433438382447,82.80041190448546
Mar,45.95896451612903,65.80517578054244,74.76642190004178
Apr,47.76019556721933,52.54343044940273,67.4978744927537
May,41.55584654499342,48.21799719516595,56.609880778313155
Jun,28.769270022664383,41.26735303302694,50.12913725611812
Jul,29.93745798905566,44.76192379678669,55.23178360265214
Aug,38.96096771357891,57.795407605544696,83.47312071998832
Sep,52.33898961787815,76.68800411415756,105.50838024156329
Oct,66.23881835350468,80.47494923756997,86.02570746471423
Nov,52.501052329875144,75.43716073747989,81.8772121124749
Dec,47.14920057097385,76.97598103232123,104.84175631713286
