O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,37.26923133640553,31.081144490985984,43.178815256914824
Feb,36.391015496368034,31.629565500300362,42.94484361698194
Mar,40.66765569892473,32.786577041689355,37.83713997381544
Apr,45.69587351288516,26.41197829306534,29.761334400273142
May,44.123432836684344,24.480776725233753,27.60547073765671
Jun,34.266098,20.050875653382857,22.824968593066988
Jul,34.47137075268817,17.897309651035986,22.828874058291436
Aug,46.188175483870964,23.51802574810315,37.49860701641878
Sep,60.72716706770833,34.139142940458356,54.60395752898827
Oct,73.06775051894321,39.63239707261756,52.46677449606345
Nov,53.714846241457856,37.80352866613391,49.34851748973884
Dec,45.025743548387105,36.1524031728606,47.312069901805984
