O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,44.169094110023025,96.20587539493677,73.25714136608704
Feb,42.645895641646455,94.03467333418057,57.67366061621574
Mar,45.95896451612903,91.47824045718463,54.86102692021855
Apr,47.76019556721933,71.71156666469055,51.80694687414117
May,41.55584654499342,59.41084345302297,48.376335717533124
Jun,28.769270022664383,48.183839132783,44.900644685026215
Jul,29.93745798905566,45.580177736785025,47.92213069452002
Aug,38.96096771357891,54.39790994765738,72.07658252374961
Sep,52.33898961787815,83.58023619026324,98.77184751402501
Oct,66.23881835350468,98.23042666308092,80.98038603762437
Nov,52.501052329875144,87.20165583887572,67.57905235722407
Dec,47.14920057097385,92.60722713743176,77.73856798633454
