O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.47128238227247,82.37209448616333,59.24314941535966
Feb,33.45434473377581,65.71307650648536,47.18660888447529
Mar,37.11707247311826,58.692395896017395,37.90796905089544
Apr,37.20634804775658,42.35143639775451,28.73169274145895
May,32.216372688172044,28.84308370917868,23.653223811642825
Jun,20.558955362603076,18.799242701380983,18.176353930604492
Jul,19.57154365591398,16.95463128314721,17.55488416271009
Aug,26.060457526881716,21.47561890580428,33.420708870532266
Sep,37.59240088888889,49.182705312147995,71.76228457782405
Oct,49.65377802584432,84.00148732144096,79.47581508800248
Nov,40.853515717527955,85.0636614767084,69.00532674924703
Dec,37.94907511520737,95.0399603939763,70.8638057476314
