O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.940585215053765,38.44900886306339,58.86929331985088
Feb,33.56463872893258,38.56220723833741,57.08019165451621
Mar,36.02572729528536,41.55637221436868,48.034919865268414
Apr,40.43171076923077,30.69340462543988,34.844046077303766
May,39.227471169354814,28.542966409337883,33.12229401060715
Jun,28.37502700420672,22.45064476569809,25.928251733630148
Jul,32.94050870069523,18.99681724653819,25.936724354050067
Aug,44.47131757424781,26.679864330239973,51.520237438784434
Sep,55.42779128205128,43.12282268729105,82.73801851174086
Oct,66.24298046736749,50.678361912042014,74.29102781811258
Nov,50.31769496380646,48.79431447706949,71.981308447211
Dec,42.27148473392605,49.85204634046594,68.29460908147263
