O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,37.26923133640553,34.45593788177701,63.940632032320735
Feb,36.391015496368034,39.11259959057727,65.59768852783822
Mar,40.66765569892473,36.55974153940242,58.221162449461545
Apr,45.69587351288516,33.20837950870061,48.11111593414484
May,44.123432836684344,31.81838701371667,42.462707761215455
Jun,34.266098,25.735121091618556,34.261624674823594
Jul,34.47137075268817,24.27468033513896,36.228120328573276
Aug,46.188175483870964,34.274555140866234,55.51272046557514
Sep,60.72716706770833,54.19248376010047,64.25245606597089
Oct,73.06775051894321,48.52016614285426,54.5473319903704
Nov,53.714846241457856,36.45547120967403,50.22333342865169
Dec,45.025743548387105,34.04451351351239,56.21679685881198
