O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,44.169094110023025,91.53286136690147,117.70647825549155
Feb,42.645895641646455,87.63778023396547,103.34467238461968
Mar,45.95896451612903,90.26675414897515,79.63772187521155
Apr,47.76019556721933,63.037154811698954,57.53269011822141
May,41.55584654499342,58.89955914284657,55.08479606531512
Jun,28.769270022664383,49.649204549618,47.21458031166991
Jul,29.93745798905566,45.457611687154035,52.784919114961276
Aug,38.96096771357891,60.6738550835478,96.52013987320292
Sep,52.33898961787815,78.20518070121146,120.02661297924179
Oct,66.23881835350468,82.75410983414704,106.9179594627559
Nov,52.501052329875144,93.82952115356998,124.13238833812854
Dec,47.14920057097385,113.13735839082442,133.61853971841828
