O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,31.223944279365103,54.530429768949425,92.47770868720069
Feb,28.06122556085809,54.08949844714683,81.24958154153414
Mar,32.93759888337466,45.84164649296817,63.39041046094191
Apr,34.53035498087565,38.66229252235098,47.73825513099811
May,30.942675434243174,34.12454366954317,40.49224620745289
Jun,20.17792,26.205280627915876,30.73483897670759
Jul,22.79840322580645,24.29280497584343,32.4993092101121
Aug,30.499567990074443,39.659620878930426,60.416908727260825
Sep,41.640155332532046,79.70035657114373,79.17963312083744
Oct,51.86106680172147,65.65708539064096,73.00272217249115
Nov,40.014014227022535,50.36186739306635,76.03476341806194
Dec,34.98189516129032,51.88358771126428,94.54765770776174
