O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.5425,181.47113484764657,228.4573005888346
Feb,34.755901663451716,153.65045352891644,170.28254488566836
Mar,36.86060794002956,149.49252579592945,109.53605961273668
Apr,39.8706527819511,81.26453238493013,64.94014824392119
May,37.6958104750649,69.83003304805844,59.9679112323684
Jun,29.195356541716748,55.48051848264357,48.38936064841027
Jul,24.777642679892505,47.409142100805234,54.922646709378256
Aug,35.71121224241035,68.05019774225674,128.02032041917585
Sep,54.022466666666666,104.76845059153304,188.00082537048687
Oct,74.54181141439206,127.0016160367848,178.71289058170927
Nov,56.74627968337731,174.40608661543888,268.05329980510004
Dec,46.48227688172043,274.46877237558215,298.09995451987623
