O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,30.529267204301075,51.348720706459524,67.99126675947353
Feb,28.819361235955057,45.012314176018215,53.21369573676044
Mar,32.5362075255893,39.47568368873641,37.00006938370673
Apr,32.45813666666489,23.05930655396952,22.229795319009398
May,26.355901488833744,17.98618239075995,17.941836405181952
Jun,15.651489840306978,13.013456162427895,13.480226896495418
Jul,18.543326799007442,10.645952936919791,13.39953899655407
Aug,25.29751463174695,15.544330341704452,29.072059365546966
Sep,35.26818487179488,30.77252078124683,57.406523861265775
Oct,45.951282382134,47.63735357874412,69.16992761087495
Nov,36.36718364116095,58.46478211534453,88.85788858640466
Dec,31.8123217741118,74.84192642610041,89.38235478889834
