O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,30.529267204301075,55.57872801770453,89.79551360791447
Feb,28.819361235955057,52.676122578570634,71.47935097185095
Mar,32.5362075255893,40.84506356214012,51.497223026870095
Apr,32.45813666666489,31.193450195019032,36.64350701152295
May,26.355901488833744,25.620176632869597,28.624398108745112
Jun,15.651489840306978,18.276539262197016,21.065917804894053
Jul,18.543326799007442,16.712128702990906,23.119909973622857
Aug,25.29751463174695,27.931101751199627,44.92672153148595
Sep,35.26818487179488,60.95326017529944,65.38689599059983
Oct,45.951282382134,59.272826306464914,72.18333047433218
Nov,36.36718364116095,52.12389299929825,80.78916673916183
Dec,31.8123217741118,55.44028599122715,97.8871445962136
