O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,32.175773732718895,31.18285518261966,41.955731589175734
Feb,30.06867977965845,30.549117005784492,39.66938868690481
Mar,34.05200731133746,29.92864668617958,34.65665420662601
Apr,36.75792464718965,23.371781966578286,26.53130724922092
May,34.963811650600626,20.844790252140456,23.9336064409057
Jun,27.109991704465177,16.945259495038318,19.512426092972017
Jul,25.696798038478544,14.642556636946985,18.57213219161459
Aug,33.078168891011245,18.827795311944953,30.115756016385657
Sep,40.88315134635415,30.235056126344546,49.40593249905738
Oct,47.91309978494624,39.202056810004706,52.21738382362778
Nov,38.88359544419134,38.79905429450973,51.89350169075731
Dec,35.50150322580645,38.56980886193666,48.859698249091636
