O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,37.26923133640553,34.60474061740505,42.234103703325616
Feb,36.391015496368034,35.37240600317018,40.908407667448785
Mar,40.66765569892473,30.804591468511845,40.35631277485788
Apr,45.69587351288516,27.457673526399244,36.97664253494187
May,44.123432836684344,24.894717775346088,28.958798266485122
Jun,34.266098,20.187952435002625,24.032788824623506
Jul,34.47137075268817,20.85051209756735,26.07701762887737
Aug,46.188175483870964,26.789958631229442,38.56575734565229
Sep,60.72716706770833,37.07585618787579,50.80161032006571
Oct,73.06775051894321,42.06624889597139,43.87175276958759
Nov,53.714846241457856,37.16706230462277,37.037259550362705
Dec,45.025743548387105,32.202671789027214,38.80752225297145
