O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,31.223944279365103,58.673125532488676,42.444958841754506
Feb,28.06122556085809,53.10513496772845,34.51217594962169
Mar,32.93759888337466,52.69559376603455,31.893491283525158
Apr,34.53035498087565,41.339853789033214,28.261043253901573
May,30.942675434243174,31.94763532544791,26.04494821287165
Jun,20.17792,23.243879044847734,22.01670325931193
Jul,22.79840322580645,21.094227455723967,21.74802891194617
Aug,30.499567990074443,25.684904630249747,37.495181555491065
Sep,41.640155332532046,49.05727834487754,63.503125731126794
Oct,51.86106680172147,65.68745263162738,53.6876491493713
Nov,40.014014227022535,56.79077787812024,41.94101198900468
Dec,34.98189516129032,60.2970800952812,45.99388537258879
