O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.940585215053765,47.04373688162245,36.82240293497157
Feb,33.56463872893258,47.79962557838429,33.706609360024935
Mar,36.02572729528536,51.74509714754212,33.33177531268809
Apr,40.43171076923077,43.20803729040046,31.233815825725088
May,39.227471169354814,35.46907401355568,29.28697269294117
Jun,28.37502700420672,25.764124403259867,24.463747014679228
Jul,32.94050870069523,23.35934828429822,24.081381810665967
Aug,44.47131757424781,28.213329783723673,40.30561842779486
Sep,55.42779128205128,50.83817136785625,63.88997268350141
Oct,66.24298046736749,63.0051402299342,49.24350232626984
Nov,50.31769496380646,48.60573627284982,33.695791294172565
Dec,42.27148473392605,45.94818238410282,35.38718245063016
