O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,30.529267204301075,60.25921243634174,42.70696360639451
Feb,28.819361235955057,51.57559438312618,32.89959594764946
Mar,32.5362075255893,47.168079569168334,27.787796092003784
Apr,32.45813666666489,33.833452993716335,22.529051358817796
May,26.355901488833744,24.025203139423823,19.191261317716883
Jun,15.651489840306978,16.46630595063445,15.608746340044906
Jul,18.543326799007442,15.015896186190249,15.780857331565581
Aug,25.29751463174695,19.105939869695646,29.136985768706595
Sep,35.26818487179488,40.06361762624916,55.46569999203482
Oct,45.951282382134,61.17615176256451,53.996032816716394
Nov,36.36718364116095,58.534666805393805,45.43498263912016
Dec,31.8123217741118,64.90003999221571,49.23682926203065
