O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.5425,168.5129069238059,232.95526121223514
Feb,34.755901663451716,151.09299346978565,175.30638988612156
Mar,36.86060794002956,116.12100694013768,117.39688006179027
Apr,39.8706527819511,89.10805268806443,81.1810424161001
May,37.6958104750649,78.54625273005261,68.43657627793573
Jun,29.195356541716748,59.06316279314719,51.31384732854833
Jul,24.777642679892505,56.903629394953036,56.19525661674298
Aug,35.71121224241035,100.96530547706818,119.92553053922809
Sep,54.022466666666666,211.02018450299522,151.86298396896711
Oct,74.54181141439206,153.30208634638407,139.95020768033172
Nov,56.74627968337731,122.84664201639698,169.80597407349825
Dec,46.48227688172043,146.8110627833593,253.58490680188768
