,Station ID,XCNAQ240,XCNAQ877,XCNAQ879,XCNAQ878,XCNAQ875,XCNAQ236,XCNAQ2797,XCNAQ468,XCNAQ469,XCNAQ2798,XCNAQ241,XCNAQ238,XCNAQ470,XCNAQ222,XCNAQ223,XCNAQ239,XCNAQ224,XCNAQ1267,XCNAQ1268,XCNAQ2799,XCNAQ1269,XCNAQ471,XCNAQ472,XCNAQ244,XCNAQ242,XCNAQ872,XCNAQ874,XCNAQ870,XCNAQ871,XCNAQ873,XCNAQ447,XCNAQ231,XCNAQ232,XCNAQ234,XCNAQ233,XCNAQ235,XCNAQ230,XCNAQ869,XCNAQ866,XCNAQ868,XCNAQ867,XCNAQ865,XCNAQ228,XCNAQ226,XCNAQ361,XCNAQ227,XCNAQ225,XCNAQ229,XCNAQ362,XCNAQ882,XCNAQ881,XCNAQ880,XCNAQ221,XCNAQ857,XCNAQ856,XCNAQ855,XCNAQ858,XCNAQ859,XCNAQ243,XCNAQ844,XCNAQ847,XCNAQ848,XCNAQ846,XCNAQ849,XCNAQ845,XCNAQ851,XCNAQ852,XCNAQ850,XCNAQ854,XCNAQ853,XCNAQ862,XCNAQ863,XCNAQ864,XCNAQ861,XCNAQ860,CN_1340A,CN_1342A,CN_1344A,CN_1343A,CN_1338A,CN_1341A,CN_1335A,CN_1339A,CN_1337A,CN_1336A,XCNAQ220
0,Latitude,29.3538,27.7314,27.7044,27.7569,27.7250,29.4730,29.4758,29.4740,29.3578,29.4402,29.4251,29.3678,29.3550,29.0411,29.0246,29.3575,28.9703,29.0244,29.0381,29.1456,29.0239,29.3547,29.1389,29.1242,29.3150,27.5342,27.5830,27.5733,27.5444,27.5578,27.9958,27.8336,27.8244,27.8667,27.8528,27.8867,27.8381,26.4519,26.4214,26.4364,26.2331,26.2081,27.8159,27.8403,27.9153,27.8614,27.8728,27.9119,27.9164,28.2675,28.3169,28.2558,29.0755,28.5600,28.5808,28.6428,28.6047,28.5819,29.1425,26.9089,26.8733,26.8919,26.8956,26.9056,26.9258,27.2317,27.2582,27.3033,27.2272,27.2537,25.8179,25.8070,25.7759,25.8226,25.9061,28.2597,28.1178,28.3586,28.1308,28.1900,28.1944,28.2325,28.1442,28.2053,28.2189,29.0173
1,Longitude,113.0019,112.0194,111.9892,111.9561,111.9975,113.2772,113.2621,113.2700,113.1094,112.9943,113.1493,113.1772,113.2117,111.6680,111.7045,113.1091,111.6975,111.7044,111.6794,111.7158,111.6753,110.5594,110.4800,110.4697,110.4417,109.9792,110.0394,109.9333,109.9453,109.9972,113.1817,113.2510,113.1350,113.1670,113.1300,113.0950,113.1430,111.5989,111.6156,111.5992,111.6236,111.6217,112.9227,112.9118,113.0048,112.9433,112.8937,112.9074,112.4876,109.6958,109.7325,109.6414,111.7300,112.3439,112.3458,112.4067,112.3347,112.3744,110.4888,112.5328,112.6197,112.6006,112.6211,112.5664,112.6194,111.4733,111.4908,111.5239,111.4328,111.4503,113.0119,113.0383,113.0348,113.0116,113.0073,112.9792,112.9844,112.9958,112.8908,112.9394,113.0014,113.0833,112.9956,113.0792,112.8872,111.6862
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
10,2013/01/08 00:00:00,200.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,207.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,138.2917,194.7083,-99999.0000,138.5000,149.7917,179.4583,102.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,10.7500,13.8750,12.8333,11.6250,12.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,172.0417,-99999.0000,-99999.0000,164.9167,143.5417,211.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,187.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,79.8750,98.1250,-99999.0000,-99999.0000,139.0000,141.0833,119.2083,108.7917,147.8333,195.8333,148.2083
11,2013/01/09 00:00:00,242.5789,-99999.0000,-99999.0000,-99999.0000,-99999.0000,231.7368,-99999.0000,-99999.0000,-99999.0000,-99999.0000,134.4211,201.2632,-99999.0000,184.0000,221.4444,195.4737,160.6316,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,19.6316,19.9474,9.9474,12.5263,17.3684,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,214.8947,-99999.0000,-99999.0000,223.2105,189.4211,276.2632,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,251.2632,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,111.6842,134.4737,-99999.0000,-99999.0000,174.4211,209.4737,187.0526,180.6842,194.1111,167.2105,214.1579
12,2013/01/10 00:00:00,228.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,269.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,142.3333,229.7083,-99999.0000,204.5833,261.2083,206.0417,187.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,22.2083,20.4583,5.0000,12.6957,18.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,226.3750,-99999.0000,-99999.0000,226.5000,198.0000,279.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,243.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,126.4583,155.7917,-99999.0000,-99999.0000,192.5417,230.6250,196.5833,201.0000,205.0833,185.1250,248.8750
13,2013/01/11 00:00:00,258.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,262.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,166.5417,233.7083,-99999.0000,156.5000,200.0833,246.2500,146.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.7917,18.5833,5.0000,13.4583,21.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,206.5000,-99999.0000,-99999.0000,198.7500,171.8750,235.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,184.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,101.9583,156.1250,-99999.0000,-99999.0000,151.7273,259.2083,169.5833,242.5833,216.2083,132.3333,169.1667
14,2013/01/12 00:00:00,256.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,269.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,181.0417,238.4167,-99999.0000,153.9583,189.7917,250.0833,133.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,20.6250,18.4167,5.0000,13.7500,18.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,228.1667,-99999.0000,-99999.0000,246.2083,201.6667,303.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,184.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,112.7500,202.3750,-99999.0000,-99999.0000,198.8750,347.1250,201.5833,250.6667,232.5417,163.8333,174.5833
15,2013/01/13 00:00:00,220.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,185.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,125.2083,155.9583,-99999.0000,151.2917,189.3333,166.2500,144.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.5833,17.7083,5.0000,17.6667,16.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,257.5417,-99999.0000,-99999.0000,231.0000,201.0833,300.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,176.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,136.2083,213.9583,-99999.0000,-99999.0000,169.7083,315.6250,210.1667,283.4583,242.0833,150.8333,49.6250
16,2013/01/14 00:00:00,238.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,243.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,141.2083,190.1667,-99999.0000,206.3750,269.7917,212.4167,208.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,21.7083,14.1667,5.0000,10.3750,15.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,189.8333,-99999.0000,-99999.0000,219.0417,181.7083,233.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,188.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,181.3750,162.3333,-99999.0000,-99999.0000,158.4167,207.3333,148.5417,173.1250,189.4583,405.2917,234.2917
17,2013/01/15 00:00:00,300.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,272.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,209.6667,278.0833,-99999.0000,197.4583,253.3333,281.8333,204.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.0417,20.3182,5.0000,18.3333,17.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,181.2917,-99999.0000,-99999.0000,190.0417,169.1250,207.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,225.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,130.4167,158.0000,-99999.0000,-99999.0000,126.7500,193.7083,123.8750,153.7917,134.7083,302.8333,253.6667
18,2013/01/16 00:00:00,304.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,253.6471,-99999.0000,-99999.0000,-99999.0000,-99999.0000,234.8750,232.1250,-99999.0000,32.1250,235.2917,237.2500,245.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,24.0000,16.7917,5.0000,13.7391,12.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,243.2500,-99999.0000,-99999.0000,238.5833,180.2083,293.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,234.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,144.9583,227.2500,-99999.0000,-99999.0000,225.1667,237.1250,162.3333,207.6250,201.4583,418.2917,181.7059
19,2013/01/17 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,227.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,151.6957,213.0417,-99999.0000,5.0000,206.0417,217.0833,184.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,32.0833,19.7083,5.0000,15.1667,16.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,263.7917,-99999.0000,-99999.0000,274.2500,260.4167,330.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,235.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,135.6087,224.6250,-99999.0000,-99999.0000,216.4583,216.5000,192.5833,225.5833,188.8750,411.7500,138.4545
