,Station ID,XCNAQ1060,XCNAQ1056,XCNAQ1282,XCNAQ1057,XCNAQ1059,XCNAQ1062,XCNAQ1061,CN_1482A,XCNAQ1184,CN_1480A,CN_1481A,CN_1483A,XCNAQ1058
0,Latitude,34.4714,36.4985,36.5067,36.9639,36.2866,37.3753,33.0013,36.5819,36.6428,36.6428,36.6922,36.6867,35.5102
1,Longitude,100.2561,102.1157,102.0306,100.9048,100.6187,97.3730,97.0000,101.8340,101.7775,101.7480,101.7490,101.5240,102.0199
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
31,2013/01/29 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,94.5000,-99999.0000,169.8333,129.4583,-99999.0000,-99999.0000
32,2013/01/30 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,191.6250,-99999.0000,176.7500,159.9167,92.2609,-99999.0000
33,2013/01/31 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,120.7273,-99999.0000,190.6957,159.3043,96.0476,-99999.0000
34,2013/02/01 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,212.7500,-99999.0000,207.0417,172.9167,125.5417,-99999.0000
35,2013/02/02 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,189.5000,-99999.0000,221.2917,179.2083,158.1667,-99999.0000
36,2013/02/03 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,184.4167,-99999.0000,191.8333,162.5000,-99999.0000,-99999.0000
37,2013/02/04 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,168.0870,-99999.0000,175.9565,138.8696,115.7143,-99999.0000
38,2013/02/05 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,172.9167,-99999.0000,179.3333,151.7500,146.9167,-99999.0000
39,2013/02/06 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,157.7500,-99999.0000,165.4583,132.3333,141.3750,-99999.0000
40,2013/02/07 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,149.1304,-99999.0000,136.3043,95.6087,122.5238,-99999.0000
41,2013/02/08 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,156.1250,-99999.0000,146.2083,121.0417,139.3043,-99999.0000
42,2013/02/09 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,214.4583,-99999.0000,285.8750,186.2500,159.8750,-99999.0000
43,2013/02/10 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,221.6667,-99999.0000,192.0417,-99999.0000,157.0435,-99999.0000
44,2013/02/11 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,288.6250,-99999.0000,251.4583,195.8182,-99999.0000,-99999.0000
45,2013/02/12 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,197.3333,-99999.0000,182.9583,162.5417,174.4286,-99999.0000
46,2013/02/13 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,160.5417,-99999.0000,156.0417,135.4167,-99999.0000,-99999.0000
47,2013/02/14 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,158.3333,-99999.0000,151.3750,124.4167,134.0000,-99999.0000
48,2013/02/15 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,164.2917,-99999.0000,163.6667,142.2917,133.9000,-99999.0000
49,2013/02/16 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,203.1667,-99999.0000,190.8750,167.5000,167.8696,-99999.0000
50,2013/02/17 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,124.5000,-99999.0000,111.4167,97.8333,108.3913,-99999.0000
51,2013/02/18 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,135.0000,-99999.0000,112.0000,106.3750,-99999.0000,-99999.0000
52,2013/02/19 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,162.7826,-99999.0000,156.7059,156.2174,129.0000,-99999.0000
