,Station ID,XCNAQ111,XCNAQ107,XCNAQ1196,XCNAQ455,XCNAQ106,XCNAQ108,XCNAQ110,XCNAQ109,XCNAQ630,XCNAQ631,XCNAQ629,XCNAQ642,XCNAQ643,XCNAQ644,XCNAQ639,XCNAQ638,XCNAQ641,XCNAQ640,XCNAQ636,XCNAQ637,XCNAQ633,XCNAQ632,XCNAQ634,XCNAQ635,CN_1124A,CN_1121A,CN_1123A,CN_1120A,CN_1128A,CN_1125A,CN_1126A,CN_1122A,CN_1119A,CN_1127A
0,Latitude,43.8358,43.7256,43.9530,45.6176,43.8875,43.8947,43.8256,43.8228,43.1594,43.1847,43.1747,42.8939,42.9061,42.8775,45.1642,45.0878,45.6175,45.6289,41.9206,41.9418,42.8953,42.8947,41.7156,41.7381,43.7878,43.8748,43.8694,43.9099,43.8500,43.5500,43.8667,43.8400,43.9167,43.8167
1,Longitude,126.5844,126.6772,126.4738,122.8095,126.5550,126.5786,126.5500,126.4978,124.3711,124.3897,124.3419,129.4892,129.5042,129.3675,124.8528,124.8292,122.8211,122.8444,126.4047,126.4078,125.1567,125.1358,125.9361,125.9486,125.4540,125.3649,125.3250,125.2870,125.2170,125.6330,125.4170,125.2786,125.3230,125.2500
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
13,2013/01/11 00:00:00,-99999.0000,123.0625,-99999.0000,-99999.0000,148.0000,-99999.0000,161.1333,209.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,212.1667,227.1111,248.3333,245.7778,-99999.0000,-99999.0000,-99999.0000,245.1667,-99999.0000,-99999.0000
14,2013/01/12 00:00:00,-99999.0000,141.6667,-99999.0000,-99999.0000,220.2778,-99999.0000,105.0000,138.2778,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,341.5238,456.0000,484.1905,481.4500,-99999.0000,-99999.0000,-99999.0000,514.6667,501.5500,-99999.0000
15,2013/01/13 00:00:00,-99999.0000,152.3750,-99999.0000,-99999.0000,327.8000,-99999.0000,180.6875,320.5789,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,346.3158,350.4211,377.1053,412.0000,-99999.0000,-99999.0000,-99999.0000,375.6316,377.0000,-99999.0000
16,2013/01/14 00:00:00,-99999.0000,150.7647,-99999.0000,-99999.0000,206.9375,-99999.0000,-99999.0000,165.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,383.1667,465.8947,462.5789,473.9474,-99999.0000,-99999.0000,-99999.0000,429.0526,461.0526,-99999.0000
17,2013/01/15 00:00:00,-99999.0000,156.5625,-99999.0000,-99999.0000,257.4118,-99999.0000,321.3750,281.2000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,381.6667,359.1111,406.3333,408.6111,-99999.0000,-99999.0000,-99999.0000,441.5556,465.2353,-99999.0000
18,2013/01/16 00:00:00,-99999.0000,166.2632,-99999.0000,-99999.0000,148.7895,-99999.0000,146.6000,179.5500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,306.5556,287.0556,268.9444,295.8889,-99999.0000,-99999.0000,-99999.0000,315.7778,284.1667,-99999.0000
19,2013/01/17 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
20,2013/01/18 00:00:00,65.7333,55.8750,-99999.0000,-99999.0000,103.1667,-99999.0000,72.3750,155.6000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
21,2013/01/19 00:00:00,127.8421,120.7368,-99999.0000,-99999.0000,225.1579,-99999.0000,139.8824,149.7222,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
22,2013/01/20 00:00:00,232.6190,111.4286,-99999.0000,-99999.0000,320.9048,-99999.0000,227.4762,327.4706,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
