Timestamp,O3,PM2.5,NO2,SO2,Pressure,RH,Temperature,Wind Speed,O3BL,PMBL,NO2BL,SO2BL,PBL,rhbl,TBL,WSBL,ln(O3)-O3BL,ln(PM)-PMBL,ln(NO2)-NO2BL,ln(SO2)-SO2BL,ln(P)-PBL,ln(rh)-rhbl,ln(T)-TBL,ln(WS)-WSBL
2001/02/13,17.0612661458,0,0,0,0,0,0,0,2.60383434572,0,0,0,0,0,0,0,0.23297641081,0,0,0,0,0,0,0
2001/02/14,15.1639516927,0,0,0,0,0,0,0,2.60744712972,0,0,0,0,0,0,0,0.11147388226,0,0,0,0,0,0,0
2001/02/15,16.9058239583,0,0,0,0,0,0,0,2.61145417758,0,0,0,0,0,0,0,0.21620399789,0,0,0,0,0,0,0
2001/02/16,20.7057875000,0,0,0,0,0,0,0,2.61585071363,0,0,0,0,0,0,0,0.41456253693,0,0,0,0,0,0,0
2001/02/17,20.7270541666,0,0,0,0,0,0,0,2.62053075287,0,0,0,0,0,0,0,0.41090905862,0,0,0,0,0,0,0
2001/02/18,18.3886124999,0,0,0,0,0,0,0,2.62542936375,0,0,0,0,0,0,0,0.28630222339,0,0,0,0,0,0,0
2001/02/19,18.431125,0,0,0,0,0,0,0,2.63044194754,0,0,0,0,0,0,0,0.28359886405,0,0,0,0,0,0,0
2001/02/20,19.2389541666,0,0,0,0,0,0,0,2.63544425041,0,0,0,0,0,0,0,0.32149283609,0,0,0,0,0,0,0
2001/02/21,13.9243291666,0,0,0,0,0,0,0,2.64036151593,0,0,0,0,0,0,0,-0.0067239060,0,0,0,0,0,0,0
2001/02/22,12.4149666666,0,0,0,0,0,0,0,2.64521239793,0,0,0,0,0,0,0,-0.1263096639,0,0,0,0,0,0,0
2001/02/23,15.5240291666,0,0,0,0,0,0,0,2.65003492366,0,0,0,0,0,0,0,0.09235416865,0,0,0,0,0,0,0
2001/02/24,12.9517270833,0,0,0,0,0,0,0,2.65475690520,0,0,0,0,0,0,0,-0.0935277604,0,0,0,0,0,0,0
2001/02/25,11.6709208333,0,0,0,0,0,0,0,2.65935421728,0,0,0,0,0,0,0,-0.2022538680,0,0,0,0,0,0,0
2001/02/26,9.26870833333,0,0,0,0,0,0,0,2.66379173124,0,0,0,0,0,0,0,-0.4371476997,0,0,0,0,0,0,0
2001/02/27,9.60884999999,0,0,0,0,0,0,0,2.66808557319,0,0,0,0,0,0,0,-0.4054010243,0,0,0,0,0,0,0
2001/02/28,10.6877229166,0,0,0,0,0,0,0,2.67216043295,0,0,0,0,0,0,0,-0.3030647412,0,0,0,0,0,0,0
