"Sulphur Dioxide (SO2), lat=22.1600, lon=113.5651 [MACG]"
"Station: MACG"
"Time Period (UTC+8): 20030101-20091231"
"Time","Height","ppb","Source","Status","Details"
2003/01/01 00:00:00,110.0000,21.6351,"AQ_MASMG",0,0
2003/01/01 01:00:00,110.0000,24.1040,"AQ_MASMG",0,0
2003/01/01 02:00:00,110.0000,22.4280,"AQ_MASMG",0,0
2003/01/01 03:00:00,110.0000,23.2780,"AQ_MASMG",0,0
2003/01/01 04:00:00,110.0000,25.3630,"AQ_MASMG",0,0
2003/01/01 05:00:00,110.0000,19.7290,"AQ_MASMG",0,0
2003/01/01 06:00:00,110.0000,13.8380,"AQ_MASMG",0,0
2003/01/01 07:00:00,110.0000,12.0260,"AQ_MASMG",0,0
2003/01/01 08:00:00,110.0000,10.2840,"AQ_MASMG",0,0
2003/01/01 09:00:00,110.0000,10.0290,"AQ_MASMG",0,0
2003/01/01 10:00:00,110.0000,11.7820,"AQ_MASMG",0,0
2003/01/01 11:00:00,110.0000,10.0490,"AQ_MASMG",0,0
2003/01/01 12:00:00,110.0000,9.9670,"AQ_MASMG",0,0
2003/01/01 13:00:00,110.0000,10.9560,"AQ_MASMG",0,0
2003/01/01 14:00:00,110.0000,12.8770,"AQ_MASMG",0,0
2003/01/01 15:00:00,110.0000,17.8610,"AQ_MASMG",0,0
2003/01/01 16:00:00,110.0000,17.1390,"AQ_MASMG",0,0
2003/01/01 17:00:00,110.0000,16.0700,"AQ_MASMG",0,0
2003/01/01 18:00:00,110.0000,14.6570,"AQ_MASMG",0,0
2003/01/01 19:00:00,110.0000,14.3530,"AQ_MASMG",0,0
2003/01/01 20:00:00,110.0000,19.0790,"AQ_MASMG",0,0
2003/01/01 21:00:00,110.0000,18.3080,"AQ_MASMG",0,0
2003/01/01 22:00:00,110.0000,17.8740,"AQ_MASMG",0,0
2003/01/01 23:00:00,110.0000,20.0780,"AQ_MASMG",0,0
2003/01/02 00:00:00,110.0000,19.8930,"AQ_MASMG",0,0
2003/01/02 01:00:00,110.0000,16.3390,"AQ_MASMG",0,0
2003/01/02 02:00:00,110.0000,14.9560,"AQ_MASMG",0,0
2003/01/02 03:00:00,110.0000,15.5830,"AQ_MASMG",0,0
2003/01/02 04:00:00,110.0000,14.4480,"AQ_MASMG",0,0
2003/01/02 05:00:00,110.0000,12.5710,"AQ_MASMG",0,0
2003/01/02 06:00:00,110.0000,7.6710,"AQ_MASMG",0,0
2003/01/02 07:00:00,110.0000,4.3830,"AQ_MASMG",0,0
2003/01/02 08:00:00,110.0000,4.6050,"AQ_MASMG",0,0
2003/01/02 09:00:00,110.0000,5.9710,"AQ_MASMG",0,0
2003/01/02 10:00:00,110.0000,9.4150,"AQ_MASMG",0,0
2003/01/02 11:00:00,110.0000,11.7360,"AQ_MASMG",0,0
2003/01/02 12:00:00,110.0000,15.1220,"AQ_MASMG",0,0
2003/01/02 13:00:00,110.0000,14.0040,"AQ_MASMG",0,0
2003/01/02 14:00:00,110.0000,11.6850,"AQ_MASMG",0,0
2003/01/02 15:00:00,110.0000,14.1960,"AQ_MASMG",0,0
2003/01/02 16:00:00,110.0000,14.3680,"AQ_MASMG",0,0
2003/01/02 17:00:00,110.0000,15.1150,"AQ_MASMG",0,0
2003/01/02 18:00:00,110.0000,14.2310,"AQ_MASMG",0,0
2003/01/02 19:00:00,110.0000,21.0000,"AQ_MASMG",0,0
