time,O3,O3_BL,O3 - e^(O3_BL)
2003/02/12,46.9388,3.602581471205,10.24596621775
2003/02/13,22.449,3.597235889233,-14.0482125519
2003/02/14,30.102,3.592096741419,-6.20812911832
2003/02/15,26.5306,3.587193105119,-9.60191328874
2003/02/16,18.8776,3.582589363758,-17.0889508600
2003/02/17,25.5102,3.578329379612,-10.3034598115
2003/02/18,31.6327,3.574343501490,-4.03849504060
2003/02/19,38.7755,3.570543239469,3.239607591582
2003/02/20,59.6939,3.566922483191,24.28644174242
2003/02/21,59.6939,3.563602248167,24.40380787604
2003/02/22,44.3878,3.560734591799,9.198762768848
2003/02/23,31.6327,3.558423122370,-3.47509278056
2003/02/24,39.2857,3.556573269924,4.242791424182
2003/02/25,48.9796,3.555158614756,13.98623000763
2003/02/26,44.3878,3.554063447613,9.432732618962
2003/02/27,38.7755,3.553266297476,3.848285952594
2003/02/28,38.2653,3.552745864831,3.356258485784
2003/03/01,25.0,3.552372000400,-9.89599270466
2003/03/02,33.6735,3.552088016997,-1.21258422889
2003/03/03,31.6327,3.551855194118,-3.24526289578
2003/03/04,38.2653,3.551604002360,3.396097060772
2003/03/05,32.6531,3.551262629879,-2.20420158442
2003/03/06,17.3469,3.550800086613,-17.4942823025
2003/03/07,15.3061,3.550461990306,-19.5233046185
2003/03/08,26.5306,3.550329172609,-8.29417896444
2003/03/09,45.4082,3.550365843740,10.58214394810
2003/03/10,51.0204,3.550521733753,16.18891449058
2003/03/11,59.1837,3.550803351611,24.34240394089
2003/03/12,48.4694,3.551219175795,13.61361307477
2003/03/13,51.5306,3.551770927959,16.65557601235
2003/03/14,45.4082,3.552537905508,10.50641739161
2003/03/15,38.2653,3.553560687487,3.327802216026
2003/03/16,34.1837,3.554831836259,-0.79823677968
2003/03/17,27.0408,3.556282713607,-7.99192811643
2003/03/18,35.2041,3.557872134241,0.115645868324
2003/03/19,36.2245,3.559691265794,1.072157260994
2003/03/20,4.0816,3.561841467865,-31.1464086985
2003/03/21,25.0,3.564384044492,-10.3176925758
2003/03/22,67.8571,3.567305455089,32.43607908403
2003/03/23,61.7347,3.570505727652,26.20014058247
2003/03/24,31.6327,3.573856640276,-4.02113234624
2003/03/25,44.898,3.577322595317,9.120378674209
2003/03/26,45.4082,3.580872439009,9.503348019970
2003/03/27,35.2041,3.584507104524,-0.83149156073
2003/03/28,36.2245,3.588206445075,0.055353634082
2003/03/29,44.898,3.592009472043,8.591039505720
2003/03/30,46.9388,3.596038745592,10.48525371134
2003/03/31,41.8367,3.600342000765,5.225946791553
2003/04/01,23.9796,3.604865284583,-12.7971291311
2003/04/02,23.4694,3.609608249764,-13.4821741910
2003/04/03,22.449,3.614536920648,-14.6851458872
2003/04/04,17.3469,3.619638357503,-19.9771674121
2003/04/05,31.1224,3.624657956595,-6.38949027034
2003/04/06,71.4286,3.629549926765,33.73275309310
2003/04/07,62.2449,3.634390283599,24.36614944054
2003/04/08,51.5306,3.639252059335,13.46724305637
2003/04/09,56.1224,3.644096836320,17.87418714943
2003/04/10,60.2041,3.648871260821,21.77283731379
2003/04/11,43.3673,3.653606629653,4.753619543453
2003/04/12,22.9592,3.658131151164,-15.8295847171
2003/04/13,25.5102,3.662366977063,-13.4432357263
2003/04/14,50.5102,3.666294764571,11.40346258423
2003/04/15,28.0612,3.669942477798,-11.1884480691
2003/04/16,42.3469,3.673372656409,2.962387455135
2003/04/17,34.1837,3.676454660438,-5.32238301531
2003/04/18,24.4898,3.679120028940,-15.1217217387
2003/04/19,24.4898,3.681307831818,-15.2084788090
2003/04/20,27.551,3.682985366844,-12.2139299514
2003/04/21,38.2653,3.684212505636,-1.54845699218
2003/04/22,55.6122,3.685106766350,15.76282320474
2003/04/23,68.3673,3.685817571849,28.48958797936
2003/04/24,30.102,3.686465641800,-9.80156394353
2003/04/25,125.0,3.687163310735,85.06858686587
2003/04/26,104.082,3.687908971216,64.12080048526
2003/04/27,65.3061,3.688656259248,25.31502679839
2003/04/28,52.551,3.689281483575,12.53491558857
2003/04/29,30.102,3.689763555369,-9.93337968751
2003/04/30,82.1429,3.690195612873,42.09021898895
2003/05/01,62.7551,3.690622158652,22.68533104279
2003/05/02,51.0204,3.691131457774,10.93021834700
2003/05/03,35.2041,3.691773648628,-4.91183546953
2003/05/04,35.2041,3.692681961231,-4.94828983277
2003/05/05,39.2857,3.693912391421,-0.91612495242
2003/05/06,20.4082,3.695467724116,-19.8562008156
2003/05/07,20.4082,3.697320919208,-19.9308877890
2003/05/08,20.9184,3.699486260057,-19.5081303009
2003/05/09,52.0408,3.702023081632,11.51158461300
2003/05/10,72.449,3.704912460561,31.80251100970
2003/05/11,57.6531,3.708323792983,16.86771554937
2003/05/12,28.5714,3.712189924065,-12.3719712952
2003/05/13,22.9592,3.716447921656,-18.1588797617
2003/05/14,20.9184,3.721025127857,-20.3883170780
2003/05/15,19.3878,3.725813186359,-22.1171703011
2003/05/16,19.3878,3.730863394147,-22.3273092013
2003/05/17,16.8367,3.736075309149,-25.0963923662
2003/05/18,18.3673,3.741370603353,-23.7884293712
2003/05/19,25.5102,3.746670782642,-16.8695554597
2003/05/20,62.7551,3.751839814885,20.15571507098
2003/05/21,67.3469,3.756754219124,24.53764921266
2003/05/22,37.7551,3.761244674691,-5.24681607957
2003/05/23,30.6122,3.765160668008,-12.5584414436
2003/05/24,30.102,3.768365706540,-13.2072269802
2003/05/25,137.755,3.770878452006,94.33681111655
2003/05/26,73.4694,3.772649176111,29.97426137462
2003/05/27,69.3878,3.773727062482,25.84575328124
