time,O3,O3_BL,O3 - e^(O3_BL)
2003/02/12,40.8163,3.331239965455,12.84329423150
2003/02/13,12.7551,3.327657360183,-15.1178688339
2003/02/14,29.5918,3.324416059327,1.809029584684
2003/02/15,28.0612,3.321554236105,0.357825299791
2003/02/16,5.102,3.319115534746,-22.5338967553
2003/02/17,16.3265,3.317087651882,-11.2534111792
2003/02/18,30.6122,3.315420693798,3.078225079132
2003/02/19,26.0204,3.314049029293,-1.47583343503
2003/02/20,41.8367,3.312874160795,14.37275205412
2003/02/21,52.0408,3.311971421866,24.60163364174
2003/02/22,34.6939,3.311440745517,7.269291095381
2003/02/23,7.6531,3.311379866100,-19.7698393612
2003/02/24,25.0,3.311752866188,-2.43317002793
2003/02/25,51.0204,3.312543070861,23.56554358570
2003/02/26,43.3673,3.313667735569,15.88154870769
2003/02/27,28.0612,3.315093533823,0.536231620309
2003/02/28,37.2449,3.316802668696,9.672847511889
2003/03/01,23.4694,3.318547794215,-4.15081118978
2003/03/02,25.5102,3.320261396527,-2.15738182316
2003/03/03,17.3469,3.321957311472,-10.3676434989
2003/03/04,24.4898,3.323460752690,-3.26644202373
2003/03/05,32.6531,3.324744743228,4.861196334429
2003/03/06,15.3061,3.325772986134,-12.5143951903
2003/03/07,17.8571,3.326586283187,-9.98603072056
2003/03/08,23.9796,3.327287398592,-3.88305881335
2003/03/09,48.9796,3.327882740372,21.10034844306
2003/03/10,33.1633,3.328294865644,5.272556330997
2003/03/11,57.6531,3.328407827872,29.75920555249
2003/03/12,45.9184,3.328195386714,18.03043073433
2003/03/13,42.8571,3.327643123010,14.98452799547
2003/03/14,44.3878,3.326782174592,16.53921451518
2003/03/15,33.6735,3.325589168419,5.858118239516
2003/03/16,24.4898,3.324051719413,-3.28284988690
2003/03/17,19.3878,3.322129860054,-8.33152601669
2003/03/18,23.4694,3.319825169014,-4.18611509486
2003/03/19,39.2857,3.317238521070,11.70162754808
2003/03/20,12.7551,3.314578286598,-14.7556898691
2003/03/21,13.2653,3.312087153972,-14.1770421345
2003/03/22,44.3878,3.309799030126,17.00817756032
2003/03/23,57.6531,3.307647145560,30.33233200058
2003/03/24,19.3878,3.305501070157,-7.87439844104
2003/03/25,36.2245,3.303298580239,9.022280200738
2003/03/26,48.4694,3.300986369681,21.33000480071
2003/03/27,28.5714,3.298503449874,1.499306156097
2003/03/28,36.7347,3.295835818409,9.734728285059
2003/03/29,46.4286,3.293036831091,19.50409519873
2003/03/30,38.7755,3.290439855303,11.92082677111
2003/03/31,32.6531,3.288177294048,5.859118429088
2003/04/01,10.7143,3.286199858470,-16.0267505495
2003/04/02,5.6123,3.284495456521,-21.0832118700
2003/04/03,5.6123,3.282962123262,-21.0423101198
2003/04/04,11.7347,3.281560051074,-14.8825646189
2003/04/05,24.4898,3.280209436779,-2.09153922700
2003/04/06,50.5102,3.278819429133,23.96578337047
2003/04/07,54.5918,3.277472751063,28.08310609532
2003/04/08,36.7347,3.276260373335,10.25812517125
2003/04/09,57.1429,3.275188142636,30.69469895324
2003/04/10,59.6939,3.274266179551,33.27007198103
2003/04/11,32.1429,3.273567520467,5.737526780956
2003/04/12,4.5918,3.273141545318,-21.8023275816
2003/04/13,11.7347,3.272967837042,-14.6548431013
2003/04/14,34.6939,3.273030253998,8.302709692246
2003/04/15,26.0204,3.273327111260,-0.37862588721
2003/04/16,40.8163,3.273858361829,14.40324588933
2003/04/17,38.2653,3.274506873621,11.83511115684
2003/04/18,16.5816,3.275035869030,-9.86257399042
2003/04/19,17.3469,3.275190515387,-9.10136380182
2003/04/20,18.8776,3.274899445222,-7.56296662157
2003/04/21,30.102,3.274238298831,3.678908686115
2003/04/22,38.2653,3.273386078075,11.86471740041
2003/04/23,39.2857,3.272571952420,12.90660204522
2003/04/24,19.3878,3.271967280611,-6.97535207939
2003/04/25,16.8367,3.271843349748,-9.52318507364
2003/04/26,43.3673,3.272181285613,16.99850547046
2003/04/27,59.1837,3.272879679015,32.79648324611
2003/04/28,58.1633,3.273647520635,31.75581426216
2003/04/29,43.3673,3.274348911864,16.94128578619
2003/04/30,40.8163,3.275011359596,14.37277413337
2003/05/01,48.4694,3.275727502171,22.00693001613
2003/05/02,52.0408,3.276681491847,25.55307304743
2003/05/03,34.6939,3.277956974073,8.172366867494
2003/05/04,20.9184,3.279642724766,-5.64787953040
2003/05/05,16.8367,3.281825585008,-9.78763334439
2003/05/06,8.6735,3.284449090051,-18.0207741220
2003/05/07,10.2041,3.287447995545,-16.5703478840
2003/05/08,5.6123,3.290777466116,-21.2514411875
2003/05/09,45.4082,3.294420030786,18.44642746349
2003/05/10,63.2653,3.298334747676,36.19777289261
2003/05/11,47.9592,3.302441418407,20.78028691505
2003/05/12,31.6327,3.306736748951,4.336793416531
2003/05/13,23.9796,3.311146015924,-3.43692725180
2003/05/14,9.1837,3.315579443884,-18.3546462887
2003/05/15,7.1429,3.319962342580,-20.5164089606
2003/05/16,10.7143,3.324273766021,-17.0645173943
2003/05/17,8.1633,3.328536938421,-19.7341960760
2003/05/18,10.2041,3.332776372019,-17.8119167108
2003/05/19,30.102,3.336903075362,1.970130618929
2003/05/20,45.4082,3.340753618847,17.16779881344
2003/05/21,67.8571,3.344083007880,39.52251883755
2003/05/22,40.8163,3.346598777740,12.41034581085
2003/05/23,19.3878,3.348077272278,-9.06018329950
2003/05/24,29.5918,3.348191999755,1.140552747914
2003/05/25,28.0612,3.347024617947,-0.35685316248
2003/05/26,52.0408,3.344615711617,23.69112087926
2003/05/27,76.0204,3.341010501486,47.77274341280
