,Station ID,CB_R,CL_R,CW_A,EN_A,PH1,PH5,PHSUP,KC_A,KT_A,MKaR,ST_A,SP_A,TP_A,MB_A,TK_A,TW_A,TM_A,TC_A,YL_A,XCNAQ259
25,2013/01/23 00:00:00,64.2500,62.1667,68.8750,53.0000,-99999.0000,-99999.0000,-99999.0000,81.4583,53.8333,74.5833,74.4583,59.4167,57.2500,56.1667,-99999.0000,61.5789,-99999.0000,51.2083,61.9583,81.8750
26,2013/01/24 00:00:00,81.7917,76.3750,84.1250,59.4583,-99999.0000,-99999.0000,-99999.0000,94.5417,62.5000,83.5833,76.8333,70.3333,69.3333,51.1667,-99999.0000,72.0833,-99999.0000,77.0417,67.4167,101.3750
27,2013/01/25 00:00:00,72.6250,64.4167,66.2083,57.5417,-99999.0000,-99999.0000,-99999.0000,70.0417,59.7826,68.2083,62.0000,59.4783,58.3333,58.0833,-99999.0000,62.0833,-99999.0000,52.5833,54.6087,72.1667
28,2013/01/26 00:00:00,79.1250,70.0833,77.8333,62.3182,-99999.0000,-99999.0000,-99999.0000,80.6667,63.4167,76.4583,78.3333,67.1667,75.0833,64.9583,-99999.0000,68.3750,-99999.0000,63.8333,69.9167,87.2500
29,2013/01/27 00:00:00,67.1250,58.0000,64.7083,51.4167,-99999.0000,-99999.0000,-99999.0000,63.2917,54.5833,62.8333,59.1250,55.7083,58.5833,52.5833,-99999.0000,56.9583,-99999.0000,52.2917,56.5833,62.6957
30,2013/01/28 00:00:00,52.7143,41.4167,43.7917,35.8750,-99999.0000,-99999.0000,-99999.0000,45.4583,38.2083,43.5500,41.5000,41.1250,42.1667,38.8333,-99999.0000,42.6667,-99999.0000,36.7500,45.6667,54.0000
31,2013/01/29 00:00:00,43.0000,28.5217,25.3158,25.9167,-99999.0000,-99999.0000,-99999.0000,29.0833,26.4167,34.0000,24.1250,28.5000,26.0000,28.0435,-99999.0000,29.2500,-99999.0000,24.9583,30.5417,45.0000
32,2013/01/30 00:00:00,50.0833,39.4583,37.2500,32.8750,-99999.0000,-99999.0000,-99999.0000,39.0417,35.4545,40.6667,34.7917,37.2917,32.7083,38.8333,-99999.0000,38.7917,-99999.0000,29.9167,38.2500,47.4583
33,2013/01/31 00:00:00,56.8750,47.2917,42.8750,41.0000,-99999.0000,-99999.0000,-99999.0000,39.8333,43.4583,45.1250,41.1176,43.4167,37.6250,43.0833,-99999.0000,40.5417,-99999.0000,32.2500,40.5000,-99999.0000
34,2013/02/01 00:00:00,41.8889,42.9583,35.4167,19.5263,-99999.0000,-99999.0000,-99999.0000,31.7619,21.7083,33.1053,-99999.0000,32.4583,20.1250,19.2083,-99999.0000,24.0833,-99999.0000,19.9167,29.0000,-99999.0000
35,2013/02/02 00:00:00,44.8333,33.2083,31.9583,28.1250,-99999.0000,-99999.0000,-99999.0000,27.0833,29.5833,33.5000,-99999.0000,27.8750,25.5000,31.0000,-99999.0000,26.6667,-99999.0000,23.0833,24.9167,-99999.0000
36,2013/02/03 00:00:00,29.0833,20.2083,19.1250,17.8750,-99999.0000,-99999.0000,-99999.0000,15.9583,17.7917,24.1250,-99999.0000,19.5417,12.7917,16.5417,-99999.0000,19.3333,-99999.0000,14.7083,17.6667,-99999.0000
37,2013/02/04 00:00:00,56.9000,46.2083,47.2778,27.5000,-99999.0000,-99999.0000,-99999.0000,55.3333,30.4583,42.0500,-99999.0000,40.5455,25.4583,25.6667,-99999.0000,41.0417,-99999.0000,37.9583,36.5417,-99999.0000
38,2013/02/05 00:00:00,34.2273,23.9583,24.0526,18.6667,-99999.0000,-99999.0000,-99999.0000,21.2083,16.6250,26.0435,-99999.0000,19.4583,12.4167,16.5833,-99999.0000,24.3043,-99999.0000,31.0000,23.3750,-99999.0000
39,2013/02/06 00:00:00,38.4091,23.1905,28.4500,19.6250,-99999.0000,-99999.0000,-99999.0000,20.0000,19.0833,26.7917,-99999.0000,22.0000,12.3750,16.2083,-99999.0000,21.8750,-99999.0000,16.2917,20.2857,-99999.0000
40,2013/02/07 00:00:00,36.8333,23.0000,28.7917,21.0500,-99999.0000,-99999.0000,-99999.0000,19.0000,21.3333,29.9167,-99999.0000,21.3636,15.4583,19.1250,-99999.0000,19.6250,-99999.0000,14.8750,17.9583,-99999.0000
41,2013/02/08 00:00:00,-99999.0000,12.5417,16.7083,10.9000,-99999.0000,-99999.0000,-99999.0000,10.7083,9.5909,14.4667,-99999.0000,11.0000,9.3750,10.1250,-99999.0000,11.1667,-99999.0000,11.0833,11.1667,-99999.0000
42,2013/02/09 00:00:00,-99999.0000,20.6250,27.2083,17.0833,-99999.0000,-99999.0000,-99999.0000,21.5417,16.6957,23.5833,-99999.0000,17.2917,22.4167,19.5000,-99999.0000,18.5417,-99999.0000,21.7083,24.3750,-99999.0000
43,2013/02/10 00:00:00,-99999.0000,33.7500,40.7917,31.5417,-99999.0000,-99999.0000,-99999.0000,33.3750,31.1667,36.2083,-99999.0000,30.4167,32.6250,33.6250,-99999.0000,31.7500,-99999.0000,37.7500,33.6667,-99999.0000
44,2013/02/11 00:00:00,-99999.0000,18.1250,24.0000,16.3750,-99999.0000,-99999.0000,-99999.0000,19.1250,15.7083,19.5417,-99999.0000,17.3750,16.3750,16.7500,-99999.0000,18.8333,-99999.0000,15.8750,19.1667,-99999.0000
45,2013/02/12 00:00:00,-99999.0000,32.0000,36.5000,24.9167,-99999.0000,-99999.0000,-99999.0000,27.5000,20.0000,28.0833,-99999.0000,25.4167,24.8333,24.7917,-99999.0000,28.0833,-99999.0000,29.2083,27.0417,-99999.0000
46,2013/02/13 00:00:00,30.5417,21.7917,27.2083,20.6667,-99999.0000,-99999.0000,-99999.0000,20.0417,19.4583,22.1250,-99999.0000,19.7500,15.7500,20.1250,-99999.0000,20.7917,-99999.0000,18.8333,19.8333,-99999.0000
47,2013/02/14 00:00:00,36.7500,29.2917,32.1667,26.0417,-99999.0000,-99999.0000,-99999.0000,23.2500,24.5833,29.9048,-99999.0000,26.8750,21.6250,28.2609,-99999.0000,28.2917,-99999.0000,22.6250,27.6250,-99999.0000
48,2013/02/15 00:00:00,34.6667,34.2083,42.1250,24.8333,-99999.0000,-99999.0000,-99999.0000,36.3333,26.1250,34.9167,-99999.0000,29.2500,33.3333,24.8333,-99999.0000,32.6250,-99999.0000,34.0417,32.2917,-99999.0000
49,2013/02/16 00:00:00,28.1250,26.0833,32.2917,24.9583,-99999.0000,-99999.0000,-99999.0000,23.7083,23.4167,28.5000,-99999.0000,24.6667,21.5833,25.0417,-99999.0000,24.6667,-99999.0000,18.9167,23.7500,-99999.0000
50,2013/02/17 00:00:00,40.0833,34.1250,37.1250,32.5833,-99999.0000,-99999.0000,-99999.0000,26.6250,30.0417,32.5417,-99999.0000,31.0000,25.0000,32.1667,-99999.0000,27.6250,-99999.0000,26.7083,29.2083,-99999.0000
51,2013/02/18 00:00:00,59.2857,42.5417,40.8750,27.0000,-99999.0000,-99999.0000,-99999.0000,32.8333,27.1667,34.2917,-99999.0000,30.1250,20.2083,20.2500,-99999.0000,24.7083,-99999.0000,25.7500,27.5238,-99999.0000
52,2013/02/19 00:00:00,40.3333,25.2500,33.5000,14.8000,-99999.0000,-99999.0000,-99999.0000,30.2500,14.6250,28.5000,-99999.0000,24.0000,17.0833,14.7500,-99999.0000,27.0833,-99999.0000,25.9583,24.4583,-99999.0000
53,2013/02/20 00:00:00,37.4167,25.9444,34.3333,22.7083,-99999.0000,-99999.0000,-99999.0000,32.2500,22.3333,30.9167,-99999.0000,24.5833,23.9167,22.0833,-99999.0000,27.8750,-99999.0000,30.5714,26.4348,-99999.0000
54,2013/02/21 00:00:00,48.5000,37.7083,46.3750,30.4167,-99999.0000,-99999.0000,-99999.0000,43.6667,29.6667,41.8333,-99999.0000,33.5833,33.0417,28.4583,-99999.0000,40.5882,-99999.0000,46.1250,43.9583,-99999.0000
55,2013/02/22 00:00:00,-99999.0000,36.3750,44.6250,29.5833,-99999.0000,-99999.0000,-99999.0000,33.9167,27.7391,35.9583,-99999.0000,27.0435,26.9583,21.4783,-99999.0000,26.8235,-99999.0000,36.0000,26.1667,-99999.0000
56,2013/02/23 00:00:00,-99999.0000,33.2917,39.7917,30.4583,-99999.0000,-99999.0000,-99999.0000,33.0000,30.2083,33.4167,-99999.0000,31.1250,29.7500,31.5000,-99999.0000,33.0000,-99999.0000,33.0000,32.4583,-99999.0000
57,2013/02/24 00:00:00,-99999.0000,40.4167,44.0833,39.9583,-99999.0000,-99999.0000,-99999.0000,33.8750,39.4167,37.5833,-99999.0000,38.6250,35.4583,41.9583,-99999.0000,36.9583,-99999.0000,26.9167,34.9583,-99999.0000
