,Station ID,CN_1495A,CN_1494A,XCNAQ1249,CN_1491A,CN_1492A,CN_1490A,CN_1496A,CN_1493A,XCNAQ1096,XCNAQ1088,XCNAQ1089,XCNAQ1090,XCNAQ1097,XCNAQ479,XCNAQ352,XCNAQ351,XCNAQ349,XCNAQ350,XCNAQ1079,XCNAQ1080,XCNAQ1073,XCNAQ1072,XCNAQ1087,XCNAQ1086,XCNAQ1075,XCNAQ1074,XCNAQ1084,XCNAQ1083,XCNAQ1085,XCNAQ1091,XCNAQ534,XCNAQ535,XCNAQ536,XCNAQ1076,XCNAQ1077,XCNAQ1078,XCNAQ1094,XCNAQ1095,XCNAQ1081,XCNAQ1082,XCNAQ1092,XCNAQ1093
0,Latitude,43.8729,43.8310,43.4569,43.7680,43.9469,43.8303,43.9620,43.8711,44.1756,43.9403,43.8950,43.9410,39.7153,46.0872,45.5828,44.3335,45.6886,45.6033,44.9079,44.8969,42.9559,42.9409,37.1013,37.1152,42.8328,42.8172,39.4699,39.5371,39.4365,46.7432,41.7511,41.7192,41.7128,44.1564,44.0114,44.0297,44.2967,44.3075,41.1636,41.1933,47.9047,47.8515
1,Longitude,87.4171,87.6431,87.4651,87.6046,87.4753,87.5801,87.6444,87.5525,87.5475,81.2814,81.2867,81.3364,76.1861,85.6931,84.8897,84.8983,85.1186,84.8861,82.0485,82.0806,89.1673,89.1910,79.9117,79.9485,93.4961,93.5128,75.9770,75.9828,75.9435,82.9994,86.1461,86.2022,86.2381,87.9897,87.2997,87.2717,86.0497,86.0697,80.2828,80.2955,88.1214,88.1267
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
1462,2016/12/30 00:00:00,121.8947,142.2727,-99999.0000,-99999.0000,187.6111,118.4348,245.2632,136.5789,256.0000,59.0435,39.9130,34.5294,94.6957,54.3043,114.2174,73.7826,89.3478,103.7391,58.5500,69.3478,117.6957,116.1304,56.5714,34.0000,47.4348,67.5000,201.3043,162.2174,182.0870,16.9565,72.9130,76.7826,70.1739,24.0435,155.9130,101.1500,162.2609,185.5652,90.8261,112.7391,9.0000,25.2609
1463,2016/12/31 00:00:00,231.2381,261.1304,-99999.0000,-99999.0000,-99999.0000,238.4348,177.3478,275.8000,214.9565,78.3000,54.8696,62.9000,63.8261,70.2941,96.0952,94.1304,78.3913,89.2174,44.9048,52.8696,115.7826,104.8182,92.7273,52.7826,48.4545,77.5217,165.5217,130.0435,190.4783,16.2174,70.6087,81.6957,70.2174,13.2000,183.6087,149.8696,137.8696,146.7391,104.3043,96.8696,6.1304,30.9130
1464,2017/01/01 00:00:00,130.2000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.8000,-99999.0000,97.0000,105.0000,90.3333,40.9333,-99999.0000,72.4000,-99999.0000,86.8667,175.6000,68.3333,74.7333,-99999.0000,63.6000,143.5333,-99999.0000,99.4667,68.2000,30.8667,58.6667,166.8667,136.8000,171.7333,17.0667,65.4667,70.0667,64.3333,-99999.0000,143.5333,102.7333,146.7333,150.7333,72.1333,78.0667,3.5333,10.1333
1465,2017/01/02 00:00:00,241.6522,216.7500,-99999.0000,133.7083,216.0526,230.8333,165.2727,199.4348,129.6250,91.7083,40.1667,82.0952,64.0833,-99999.0000,79.3750,158.7917,52.2500,63.5833,48.2857,65.7826,154.4167,141.4583,129.8182,74.6250,20.0417,48.9167,166.6250,121.9583,206.5833,13.5417,81.5217,60.4167,56.7083,6.7143,206.6667,161.4583,153.6250,156.5417,108.7917,113.0833,4.8750,14.0833
1466,2017/01/03 00:00:00,279.2381,279.1429,-99999.0000,-99999.0000,295.1579,288.4167,163.8261,256.0000,180.4167,65.2917,40.1667,56.0000,64.5000,57.0000,77.1667,154.4167,57.5000,66.5417,54.0000,71.8750,124.0435,104.4583,89.4583,55.2500,20.2083,47.5000,161.3750,94.4348,172.8750,19.4583,81.6667,69.2500,61.1250,7.3636,222.4167,153.4583,119.1250,129.7917,138.0833,162.2917,5.7391,26.7083
1467,2017/01/04 00:00:00,217.8125,-99999.0000,-99999.0000,84.3043,335.6000,106.7500,220.8571,225.3889,225.7917,120.7500,80.6250,118.0000,76.9583,68.5789,83.2500,120.2917,72.0000,72.0833,44.8095,65.9048,109.3333,102.1667,74.0870,46.2500,35.5833,73.2917,130.3750,69.2083,116.3333,17.5000,49.9583,44.7500,36.6250,8.8182,298.9167,235.2917,194.8750,219.9167,79.0417,94.7500,8.0833,27.6250
1468,2017/01/05 00:00:00,289.6667,287.5455,-99999.0000,156.6250,368.7778,265.7083,239.9524,279.8571,307.3333,125.8333,91.6250,114.9474,60.0833,28.2778,74.6667,173.7083,57.1667,70.4583,77.1429,90.9048,131.8333,101.2917,48.4583,41.1250,55.4167,110.7917,130.9167,107.7083,121.3750,22.4167,97.0833,86.9167,65.4167,6.9130,326.5417,250.0417,203.4583,202.5417,100.3750,109.6250,7.5000,51.7917
1469,2017/01/06 00:00:00,350.1818,319.5833,-99999.0000,165.2083,-99999.0000,351.3750,230.8182,371.8421,344.8750,113.1667,94.6667,92.8750,53.8333,75.9048,58.2500,152.5417,43.0417,56.2500,71.1250,107.7083,137.9167,118.0833,75.6250,51.6250,44.2500,78.5000,87.8333,70.2083,77.6667,44.7917,88.5000,76.2273,58.7083,12.0833,313.4348,274.2500,243.2500,274.5833,134.2917,145.6667,11.8750,46.2609
1470,2017/01/07 00:00:00,246.6087,249.0417,-99999.0000,224.4091,249.0588,240.2500,147.7917,257.6842,178.4167,131.4583,116.0833,89.6000,25.7083,58.5455,62.7500,91.2917,58.7083,59.5000,48.8696,65.6957,144.4167,121.4348,42.6667,36.8750,19.7083,57.2500,80.1739,45.4583,47.4583,24.5417,57.6667,42.5000,33.0833,6.7500,192.0833,182.0833,179.8750,188.0833,91.7500,118.5417,5.0435,35.7917
1471,2017/01/08 00:00:00,130.2381,178.9048,-99999.0000,153.1739,243.7083,161.9167,183.8636,-99999.0000,202.4167,146.2500,145.2500,104.8947,22.1250,49.5500,61.0833,92.5000,64.2500,66.4583,30.3333,62.5714,150.3333,118.3333,31.3333,31.9167,33.8333,80.4167,71.7083,62.4783,45.9167,17.1818,61.9583,59.6667,46.6667,10.0526,141.9583,137.7500,112.5417,148.2500,112.7500,82.0000,4.3750,29.9583
