,Station ID,XCNAQ1067,XCNAQ1066,XCNAQ1068,XCNAQ346,XCNAQ1063,XCNAQ1065,XCNAQ1064,XCNAQ1071,XCNAQ1070,XCNAQ1069,XCNAQ2872,XCNAQ2873,XCNAQ017,XCNAQ478,XCNAQ1213,CN_1489A,CN_1487A,CN_1486A,XCNAQ1214,XCNAQ1212,CN_1488A,CN_1484A,CN_1485A
0,Latitude,37.0172,37.4514,37.5002,39.1447,37.9647,37.9722,37.9844,36.0210,36.0022,36.1417,39.0153,39.2282,38.8170,39.1292,38.4841,38.5036,38.4858,38.4536,38.4949,38.4413,38.4975,38.6016,38.4744
1,Longitude,105.1800,105.0197,105.1971,106.6752,106.1532,106.1960,106.2025,106.2375,106.2792,106.2319,106.3717,106.7704,106.3394,106.7097,106.2739,106.1358,106.0720,106.2170,106.1024,106.2275,106.2328,105.9512,106.2680
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
2065,2018/08/25 00:00:00,19.0000,19.5833,19.9583,29.4000,18.2500,21.0435,21.1304,17.8750,22.8750,19.9167,25.2083,28.2083,20.4167,-99999.0000,23.2500,27.2917,-99999.0000,-99999.0000,38.3333,22.0000,32.4583,22.3333,-99999.0000
2066,2018/08/26 00:00:00,24.2500,18.3333,21.5417,-99999.0000,21.7083,21.7083,21.1667,25.6667,28.1667,31.7500,31.7500,25.4583,20.1667,-99999.0000,30.1250,25.4583,-99999.0000,-99999.0000,34.8333,21.0000,33.8333,23.0833,-99999.0000
2067,2018/08/27 00:00:00,42.5217,33.8750,36.4583,42.1500,33.5417,34.9167,36.3333,34.2273,40.0909,40.4583,28.2500,38.1429,23.5000,-99999.0000,35.3043,34.6250,-99999.0000,-99999.0000,45.7826,30.2727,39.0417,38.5000,-99999.0000
2068,2018/08/28 00:00:00,50.0417,46.4091,42.8750,-99999.0000,29.8696,25.2174,26.7083,36.1250,45.9167,43.9091,20.7917,20.8333,20.5455,-99999.0000,25.3333,30.3913,-99999.0000,-99999.0000,45.9167,26.1250,28.5652,52.6667,-99999.0000
2069,2018/08/29 00:00:00,34.6667,24.7500,26.5417,42.0526,28.9167,27.5000,28.7826,26.7500,32.5833,34.5833,29.4583,44.4783,31.0833,-99999.0000,32.5000,33.4167,-99999.0000,-99999.0000,43.8261,29.5000,37.8333,36.2609,-99999.0000
2070,2018/08/30 00:00:00,28.3333,-99999.0000,28.4583,-99999.0000,13.2083,12.8333,13.1250,28.6250,44.1667,34.9583,16.7500,16.4167,13.8750,-99999.0000,24.8750,24.1667,-99999.0000,-99999.0000,39.6667,14.4583,27.5417,-99999.0000,-99999.0000
2071,2018/08/31 00:00:00,39.8750,26.3750,38.9167,26.2941,24.5833,23.2917,21.6667,22.8333,39.2917,35.7500,25.4545,31.0870,24.3913,-99999.0000,28.6087,29.1304,-99999.0000,-99999.0000,40.8261,17.5652,32.8636,35.8261,-99999.0000
2072,2018/09/01 00:00:00,9.2917,3.0417,4.2083,-99999.0000,8.7059,7.8750,8.5417,6.4583,12.5000,13.9565,10.3043,9.4783,10.0833,-99999.0000,20.1250,18.0417,-99999.0000,-99999.0000,31.7500,13.3333,33.6667,18.9167,-99999.0000
2073,2018/09/02 00:00:00,17.3478,7.6957,8.5652,11.7500,10.5652,11.1739,11.3913,6.0870,10.8696,14.3478,14.8182,13.1818,12.3182,-99999.0000,21.1364,19.0455,-99999.0000,-99999.0000,30.7273,14.6818,19.7727,22.4545,-99999.0000
2074,2018/09/03 00:00:00,24.4783,16.2917,19.0435,6.9412,15.3333,14.6250,13.7083,9.7647,13.5000,18.2083,12.1905,13.0000,18.5909,-99999.0000,18.6364,19.9565,-99999.0000,-99999.0000,39.6087,22.5000,21.5217,20.5217,-99999.0000
