,Station ID,MACG,XCNAQ2815
0,Latitude,22.1600,22.1179
1,Longitude,113.5651,113.5438
2,Time,--------,--------
118,2013/04/26 00:00:00,35.0417,-99999.0000
119,2013/04/27 00:00:00,59.0000,-99999.0000
120,2013/04/28 00:00:00,38.7917,-99999.0000
121,2013/04/29 00:00:00,22.7500,-99999.0000
122,2013/04/30 00:00:00,15.7083,-99999.0000
123,2013/05/01 00:00:00,20.4583,-99999.0000
124,2013/05/02 00:00:00,20.3333,-99999.0000
125,2013/05/03 00:00:00,41.9167,-99999.0000
126,2013/05/04 00:00:00,49.2500,-99999.0000
127,2013/05/05 00:00:00,35.2917,-99999.0000
128,2013/05/06 00:00:00,29.7391,-99999.0000
129,2013/05/07 00:00:00,29.4583,-99999.0000
130,2013/05/08 00:00:00,21.7500,-99999.0000
131,2013/05/09 00:00:00,15.0417,-99999.0000
132,2013/05/10 00:00:00,8.7083,-99999.0000
133,2013/05/11 00:00:00,35.2500,-99999.0000
134,2013/05/12 00:00:00,24.7917,-99999.0000
135,2013/05/13 00:00:00,23.3333,-99999.0000
136,2013/05/14 00:00:00,10.1250,-99999.0000
137,2013/05/15 00:00:00,8.7500,-99999.0000
138,2013/05/16 00:00:00,6.6667,-99999.0000
139,2013/05/17 00:00:00,23.3333,-99999.0000
140,2013/05/18 00:00:00,8.6667,-99999.0000
141,2013/05/19 00:00:00,12.5417,-99999.0000
142,2013/05/20 00:00:00,10.5833,-99999.0000
143,2013/05/21 00:00:00,10.6667,-99999.0000
144,2013/05/22 00:00:00,-99999.0000,-99999.0000
145,2013/05/23 00:00:00,-99999.0000,-99999.0000
146,2013/05/24 00:00:00,8.3913,-99999.0000
147,2013/05/25 00:00:00,0.0000,-99999.0000
148,2013/05/26 00:00:00,4.3750,-99999.0000
149,2013/05/27 00:00:00,9.6667,-99999.0000
150,2013/05/28 00:00:00,7.1667,-99999.0000
151,2013/05/29 00:00:00,5.2917,-99999.0000
152,2013/05/30 00:00:00,6.2917,-99999.0000
153,2013/05/31 00:00:00,9.2500,-99999.0000
154,2013/06/01 00:00:00,9.3750,-99999.0000
155,2013/06/02 00:00:00,8.1250,-99999.0000
156,2013/06/03 00:00:00,9.6667,-99999.0000
157,2013/06/04 00:00:00,3.9167,-99999.0000
158,2013/06/05 00:00:00,3.6667,-99999.0000
159,2013/06/06 00:00:00,13.1304,-99999.0000
